Event 138712468,,,,,
Event 138712481,,,,,
Event 138712459,,,,,
Event 138712494,,,,,
Event 138712447,,,,,
Event 138712475,-1.35903,,,,
Event 138712514,,,,,
Event 138712526,,,,,
Event 138712483,,,,,
Event 138712542,,,,,
Event 138712537,,,,,
Event 138712467,2.57948,,,,
Event 138712541,,,,,
Event 138712484,,,,,
Event 138712543,,,,,
Event 138712562,,,,,
Event 138712510,2.62013,,,,
Event 138712544,,,,,
Event 138712482,,,,,
Event 138712561,,,,,
Event 138712566,,,,,
Event 138712580,,,,,
Event 138712532,,,,,
Event 138712594,,,,,
Event 138712584,,,,,
Event 138712602,,,,,
Event 138712598,,,,,
Event 138712556,,,,,
Event 138712600,-1.09424,,,,
Event 138712599,,,,,
Event 138712595,2.66028,,,,
Event 138712575,,,,,
Event 138712563,-2.66793,,,,
Event 138712603,,,,,
Event 138712614,,,,,
Event 138712618,,,,,
Event 138712606,,,,,
Event 138712631,,,,,
Event 138712625,,,,,
Event 138712615,-0.264058,,,,
Event 138712607,,,,,
Event 138712577,,,,,
Event 138712642,-2.3027,,,,
Event 138712589,,,,,
Event 138712639,,,,,
Event 138712652,,,,,
Event 138712650,,,,,
Event 138712662,-0.661419,,,,
Event 138712653,,,,,
Event 138712656,-1.95785,,,,
Event 138712641,2.94258,,,,
Event 138712622,,,,,
Event 138712689,,,,,
Event 138712626,,,,,
Event 138712672,,,,,
Event 138712648,,,,,
Event 138712697,,,,,
Event 138712705,,,,,
Event 138712720,,,,,
Event 138712692,,,,,
Event 138712694,-1.69971,,,,
Event 138712729,-1.27694,,,,
Event 138712710,,,,,
Event 138712685,-0.26665,,,,
Event 138712691,,,,,
Event 138712716,-1.24255,,,,
Event 138712738,,,,,
Event 138712730,,,,,
Event 138712760,1.40638,,,,
Event 138712754,,,,,
Event 138712687,,,,,
Event 138712756,,,,,
Event 138712728,,,,,
Event 138712777,1.37937,,,,
Event 138712770,,,,,
Event 138712791,,,,,
Event 138712731,,,,,
Event 138712782,,,,,
Event 138712778,,,,,
Event 138712745,,,,,
Event 138712788,,,,,
Event 138712795,,,,,
Event 138712764,,,,,
Event 138712808,,,,,
Event 138712751,,,,,
Event 138712772,,,,,
Event 138712826,,,,,
Event 138712828,,,,,
Event 138712816,,,,,
Event 138712843,,,,,
Event 138712769,,,,,
Event 138712858,,,,,
Event 138712840,,,,,
Event 138712874,,,,,
Event 138712844,,,,,
Event 138712824,1.38401,,,,
Event 138712859,,,,,
Event 138712845,,,,,
Event 138712885,,,,,
Event 138712860,,,,,
Event 138712884,,,,,
Event 138712849,,,,,
Event 138712809,-0.0572146,,,,
Event 138712855,,,,,
Event 138712894,,,,,
Event 138712929,,,,,
Event 138712905,1.79001,,,,
Event 138712908,,,,,
Event 138712892,,,,,
Event 138712928,,,,,
Event 138712900,,,,,
Event 138712931,,,,,
Event 138712901,,,,,
Event 138712787,,,,,
Event 138712945,,,,,
Event 138712962,,,,,
Event 138712947,,,,,
Event 138712932,,,,,
Event 138712957,0.33179,,,,
Event 138712946,,,,,
Event 138712969,-2.8733,,,,
Event 138712974,,,,,
Event 138712927,,,,,
Event 138712984,,,,,
Event 138712971,,,,,
Event 138713006,,,,,
Event 138712955,,,,,
Event 138712978,,,,,
Event 138713009,,,,,
Event 138712996,,,,,
Event 138713004,1.71533,,,,
Event 138712896,-2.80223,,,,
Event 138712893,2.28087,,,,
Event 138713023,,,,,
Event 138712973,,,,,
Event 138713033,,,,,
Event 138712995,,,,,
Event 138713014,,,,,
Event 138713047,,,,,
Event 138713038,,,,,
Event 138713046,,,,,
Event 138713026,,,,,
Event 138713028,-2.84194,,,,
Event 138713016,,,,,
Event 138713060,,,,,
Event 138713051,,,,,
Event 138713055,-2.97164,,,,
Event 138713072,-0.447058,,,,
Event 138713092,,,,,
Event 138713063,,,,,
Event 138713086,,,,,
Event 138712990,,,,,
Event 138713064,1.25684,,,,
Event 138713021,,,,,
Event 138713115,,,,,
Event 138713085,,,,,
Event 138713082,,,,,
Event 138713077,,,,,
Event 138713123,,,,,
Event 138713136,,,,,
Event 138713139,,,,,
Event 138713067,,,,,
Event 138713125,,,,,
Event 138713087,,,,,
Event 138713089,,,,,
Event 138713143,,,,,
Event 138713156,,,,,
Event 138713168,,,,,
Event 138713117,,,,,
Event 138713142,,,,,
Event 138713119,,,,,
Event 138713150,,,,,
Event 138713183,-2.13781,,,,
Event 138713184,,,,,
Event 138713200,,,,,
Event 138713124,,,,,
Event 138713186,,,,,
Event 138713178,1.07013,,,,
Event 138713202,,,,,
Event 138713197,,,,,
Event 138713179,,,,,
Event 138713162,0.729273,,,,
Event 138713212,,,,,
Event 138713219,0.909009,,,,
Event 138713174,,,,,
Event 138713207,,,,,
Event 138713220,,,,,
Event 138713246,,,,,
Event 138713208,,,,,
Event 138713237,,,,,
Event 138713222,,,,,
Event 138713242,-1.84742,,,,
Event 138713255,1.83984,,,,
Event 138713236,-3.10106,,,,
Event 138713245,,,,,
Event 138713235,0.412881,,,,
Event 138713240,,,,,
Event 138713221,,,,,
Event 138713265,,,,,
Event 138713271,-2.44472,,,,
Event 138713281,,,,,
Event 138713258,,,,,
Event 138713301,,,,,
Event 138713252,,,,,
Event 138713278,,,,,
Event 138713287,,,,,
Event 138713305,0.749603,,,,
Event 138713303,,,,,
Event 138713309,,,,,
Event 138713268,,,,,
Event 138713314,,,,,
Event 138713254,,,,,
Event 138713345,,,,,
Event 138713325,,,,,
Event 138713112,,,,,
Event 138713324,,,,,
Event 138713277,-1.23216,,,,
Event 138713344,,,,,
Event 138713327,,,,,
Event 138713352,,,,,
Event 138713312,0.576516,,,,
Event 138713304,,,,,
Event 138713288,,,,,
Event 138713375,2.52879,,,,
Event 138713384,,,,,
Event 138713357,,,,,
Event 138713390,,,,,
Event 138713383,-1.50291,,,,
Event 138713389,,,,,
Event 138713393,,,,,
Event 138713406,,,,,
Event 138713409,,,,,
Event 138713355,-0.141907,,,,
Event 138713400,,,,,
Event 138713405,2.64857,,,,
Event 138713407,-0.0159776,,,,
Event 138713328,,,,,
Event 138713424,-0.198668,,,,
Event 138713436,-1.89042,,,,
Event 138713386,0.862305,,,,
Event 138713425,,,,,
Event 138713426,-1.7583,,,,
Event 138713417,,,,,
Event 138713438,,,,,
Event 138713444,,,,,
Event 138713462,-0.307424,,,,
Event 138713465,,,,,
Event 138713451,,,,,
Event 138713408,,,,,
Event 138713469,,,,,
Event 138713453,,,,,
Event 138713480,2.47875,,,,
